clip_id,reasoning_trace
f289708f-5ad2-4f45-8000-293a0fd704b9,[['Slow down to create a gap in the adjacent right lane to prepare for changing right behind the silver SUV that is currently passing on the right.']]
10bad3f8-ed55-4336-bc52-a4cbbd845d72,[['Keep distance to the lead vehicle because it is ahead in the same lane approaching the intersection']]
114230a1-25ed-4051-a54e-a3ef4eafa526,[['Nudge left to pass the parked car on the right']]
3738a927-4964-4ee7-8143-0f8e380bfdc0,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
7725b403-2ffa-42b0-83cc-5c8a2590fdb4,[['Keep distance to the lead vehicle because it is directly ahead in the same lane']]
77db77eb-110f-40fb-af08-9bf522213bdf,[['Keep distance to the lead vehicle because it is ahead in the same lane']]
8a9d5cf6-85e0-4c6e-918f-cdbd84d87caa,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
914437c8-6763-4b20-99f3-4de044c08e0f,[['Keep lane to continue driving since the lane ahead is clear.']]
b8fa0288-f799-4443-ba62-4601c45fe133,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
ce9d560f-c175-4d97-9ff9-b4a5150136cc,[['Keep distance to the lead vehicle because it is directly ahead in the same lane']]
eb610823-376f-411c-b8ab-7f0371ea81fb,[['Keep lane to continue driving since no critical agent needs attention.']]
f09fedc9-562a-4805-9193-4a2d37592a30,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
4c55e71c-4fbe-42c6-a3cc-7c6a03f51048,[['Accelerate to proceed through the intersection since the straight traffic light turns green.']]
4e2937df-ab39-4849-a168-cb4a0f06ac03,[['Yield due to a pedestrian crossing the road ahead']]
4fd885d0-9738-4804-9349-159d1e5e37da,[['Nudge to the right to increase clearance from the center divider bollards.']]
7bd08ee7-3e9b-499e-b9af-c3b84aac728b,[['Accelerate to proceed through the intersection since the straight traffic light is green.']]
b9978090-6df9-438b-b3bd-b15db4b8892a,[['Stop due to the red traffic light']]
1c59a82d-9749-4432-837f-a14f2af8e79e,[['Maintain speed due to adequate gap to the lead vehicle.']]
247cb1bf-1d3f-484d-b571-a4535df8f767,[['Keep lane to continue driving since the lane ahead is clear.']]
4a1546a5-ac20-4edc-8621-e753506040b7,[['Keep distance to the lead vehicle to maintain a safe following gap']]
4c143482-925f-4349-93c5-f4197d654eef,[['Keep distance to the lead vehicle because it is directly ahead in the same lane']]
58de002d-6e65-4ed0-8b0a-3dd1ec82ce19,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
60195ca1-2da9-4254-a204-eca7cca2b4f5,[['Accelerate due to the green light.']]
8a5c7a84-ab5f-4f30-a008-bd32fafd75f0,[['Keep distance to the lead vehicle to maintain a safe following gap']]
d1a70f4d-54d3-456e-a4be-70c87a3d3cba,[['Maintain speed to keep a safe gap to the lead vehicle.']]
d4dfaa22-c84c-4ec8-810c-828fc63a24f1,[['Keep distance to the lead vehicle because it is moving slowly.']]
1f62af5c-2991-47ba-a7c7-0a6f37d8bad3,[['Keep lane to continue driving since the road ahead is clear.']]
3bd4155b-73fe-442c-bbb2-774c52758a81,[['Nudge to the left to increase clearance from the parked vehicle encroaching into the lane.']]
3ff3626b-cc19-4e9f-b5c6-06c06b6066ac,[['Keep lane to continue driving since no critical agent needs attention.']]
4e48a5c6-f291-490a-8d80-55f4d1a69b68,[['Adapt speed to slow for the speed bump ahead.']]
5c813a66-3c48-4502-9ecf-8ead81db7eca,[['Adapt speed due to the sharp left turn.']]
a6561bdf-df33-4a15-aa72-1e6bc9af3d63,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
c5373751-f794-441f-a2bf-1347bc503327,[['Resume speed since the lane ahead is clear.']]
e0c0ac5a-0eb8-45b1-a9bc-9d1d44c98ebc,[['Nudge to the right to increase clearance from the oncoming truck.']]
fe559f6c-d81f-472b-b765-f69bd3e4ead6,[['Adapt speed for the speed bump ahead.']]
431fd65c-b048-4c38-ad35-24620dd7bda1,[['Nudge left to pass the parked car on the right']]
4f14b8f4-4c16-48ce-aa42-02add7cd9f4d,[['Yield to the pedestrian crossing the lane ahead']]
54f4da75-e35d-4d7c-99f5-ecb00d03a245,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
b2463429-af16-4d19-a7ef-b5bd4a7c5a41,[['Adjust speed to complete the left turn at the intersection.']]
eb6f1d6f-d089-4064-96a2-104237498dda,[['Nudge left to pass the parked vehicle on the right']]
44f21fa0-d9e0-469b-994e-1eafd7a744d7,"[['Lane change to the right due to cones and a work vehicle closing the left lane ahead, then merge back right after clearing the obstruction to follow the lead truck while maintaining safe clearance and speed.']]"
8d9851c9-1a4b-4c23-9993-bcc49d1c250e,[['Adapt speed for the curve because the on-ramp bends left.']]
98079df9-d0e8-437a-87e7-380877820392,[['Nudge left to avoid the cones on the right side']]
bb2a9361-c9cf-4fa5-9676-3d452613e0c4,[['Nudge left to pass the construction vehicle on the right']]
c1459103-7479-41a6-843a-ae18733f75ae,[['Nudge to the left to avoid the construction cones encroaching into the lane']]
0eb6cbd1-4891-4099-9f68-f0a031dde3d5,[['Nudge left to pass the parked car on the right']]
34c82b1f-c158-4e26-91f2-f49facdde459,[['Stop due to the stop sign at the intersection.']]
353bc126-8108-48c7-b0ae-6deee1314698,[['Nudge to the left to increase clearance from the construction cones encroaching into the lane.']]
3d95d4c1-a66c-4013-9917-d65120737a1f,[['Turn right at the intersection since the cross-traffic has cleared']]
4b7426a9-cf3f-4aa4-ab0a-ee08c6688ca0,[['Stop to yield to the cross-traffic vehicle at the stop sign.']]
537604aa-6335-4b20-8784-a58c1d320414,[['Stop for the stop sign at the intersection.']]
546206fe-c77f-406e-b630-7e69a7696dc7,[['Stop at the stop line for the stop sign.']]
576e15a8-3e73-4fc5-b0b8-3d0028a7a956,[['Keep lane to continue driving since no critical agent needs attention.']]
637a8da1-952b-409b-b0e5-becd8c8b50af,[['Stop for the stop sign ahead.']]
77b5161a-a33d-47b5-80dd-caf168a05ebc,[['Slow down to stop for the stop sign ahead.']]
7df51dd7-a655-4bf4-9da9-652974bda519,[['Slow down to stop for the stop sign ahead.']]
88bc8ff7-2a57-4714-8d05-8398333b3c39,[['Stop at the stop line for the stop sign.']]
986af453-671b-44d1-acbf-2a0de29b87e4,[['Keep lane to continue driving since no critical agent needs attention.']]
a121580a-30c4-4503-9612-15d30841a6f2,[['Nudge right to avoid the debris on the left side']]
a27741aa-98a3-491a-97bf-e89d222f3829,[['Stop at the stop sign to yield to cross traffic.']]
a4f0098d-b86b-4d87-b868-def8386a99e7,[['Slow down to stop for the stop sign ahead.']]
c35d5285-f6a8-49ff-b9c1-94cb814f19f3,[['Slow down to stop for the stop sign ahead.']]
c564a347-cedb-4882-ae9b-8575321bc398,[['Stop due to the stop sign at the intersection']]
d174cda8-3111-48de-84f8-be431a90a7b1,[['Nudge left to pass the parked vehicle on the right']]
d201756a-6109-4e3a-b656-05946aab5236,[['Stop to yield to the cross-traffic at the stop sign']]
d3a67af3-c80c-4cda-b84b-336becf602c9,[['Stop to keep distance to the lead vehicle at the stop sign']]
f37b8f24-37d1-46f0-997b-1c095aa13412,[['Stop for the stop sign at the intersection.']]
09293403-b273-43d2-a3ef-67198214774b,[['Slow down for the red traffic light ahead.']]
10c18013-dada-4b76-b6fe-91f48af288bf,[['Lane change to the left to avoid entering the right-turn-only lane.']]
1afd3fc7-54e1-4a2a-8fec-6ef750071f96,[['Slow down to stop for the red traffic light.']]
242a67ce-3768-4db0-a514-9013e182d09d,[['Stop due to the red traffic light']]
32d62410-9e23-4a0c-83c8-9182583f652b,[['Stop at the stop line since the straight traffic light is red']]
4b3ab381-e01c-4c09-9ae0-ae4f9f700670,[['Stop due to red traffic light.']]
4ba9f926-6319-4044-9315-7798280dd906,[['Stop to keep distance to the lead vehicle.']]
76845ead-3169-4577-bd87-89c4ded32f53,[['Keep distance to the lead vehicle because it is ahead in the same lane']]
79de3792-b04f-4c43-b4b8-86a4914c4197,[['Stop for the red traffic light.']]
c947689f-d3e0-4d35-8ae2-5ebf2e66224f,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
cefcad2e-0537-49bb-ba1f-4766e674e402,[['Nudge to the right to increase clearance from the oncoming motorcycle.']]
e3f12a42-e75b-4af3-aaea-70a0b31f24ba,[['Keep distance to the lead vehicle because it is moving slowly ahead']]
12202b9a-e46b-422f-a21a-449db891da0f,[['Nudge left to avoid the cones on the right side']]
13040349-f96d-4225-90bb-fe24eab3896b,[['Nudge right to give space to the oncoming vehicle']]
1bf3ac7c-a579-45e4-98ce-b81b48cdad8e,[['Nudge to the right to avoid the cone in the same lane.']]
1eb1fcc8-a64a-4d8c-b57a-0109cc146213,[['Nudge to the left to pass the stopped pickup encroaching into the lane.']]
6ccde1ef-3488-4059-9275-4a595fd95ff5,[['Nudge to the left to increase clearance from the parked vehicle ahead in the same lane']]
80d5353a-85c8-4989-9343-f6bc329f9ffc,[['Keep lane to continue driving since no critical agent needs attention.']]
84d3cac7-9936-43dc-8a21-7c76acb5ba16,[['Keep lane to continue driving since the lane ahead is clear.']]
91ba227a-0b32-4b1b-af74-b10a6bc9f5bb,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
bff86bd0-556f-48b2-a2e5-6e43f536fb24,[['Nudge left to overtake the parked vehicle on the right']]
fe4f906d-e2e5-47e3-a67f-c371c8d423c4,[['Nudge to the left to pass the stopped vehicle in the same lane.']]
0685aa1d-5271-4d86-b53f-d347c91c911b,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
0872d337-a28c-4dfa-bb36-59e5eaafb5a8,[['Slow down for the red traffic light ahead.']]
11adf781-83d5-46e2-b14e-fe036f801bb3,[['Stop due to red traffic light']]
13ca027c-30ca-4fb8-9cf9-eab4fbfcfc43,[['Turn right at the intersection since the traffic light is green.']]
4838af24-9f41-4a2d-8da1-0558bdb1c5a5,"[['Change lanes to the right to enter the upcoming exit ramp, due to the lane split and guide signs, while keeping safe clearance from the right guardrail and maintaining gap to the lead vehicle.']]"
48e11bb7-38b9-4541-bd6c-3c588c55fd2d,[['Stop to keep distance to the lead vehicle stopped at the intersection']]
59b6789d-e273-4690-a01d-70163113a286,[['Stop for the red traffic light.']]
5fe40623-7528-482f-918c-c69aabb1ea83,[['Keep lane to continue driving since no critical agent needs attention.']]
6b0424a3-88cf-46fc-8ea1-8dcb2daf912a,[['Accelerate to proceed through the intersection since the straight traffic light is green.']]
8efe47d8-79e2-4e86-b4e3-260c20631886,[['Keep lane to continue driving since no critical agent needs attention.']]
93b90a70-7f7d-4f59-8739-da6138757ea8,[['Stop to keep distance to the lead vehicle.']]
9948b5ab-c8b6-4e17-98a9-520181f7f89b,[['Keep lane to continue driving since no critical agent needs attention.']]
ad206473-a9ae-409c-9bcd-3fa5bc1dd75a,[['Split to the left to follow the route at the fork.']]
b4ee9bc7-17b6-4c91-a448-980cb77c3d7d,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
b6b8632e-1f6f-4f00-b37c-c82246911f64,[['Accelerate due to clear road ahead.']]
ba8bec08-b5a9-4dfb-b11d-890f7e3549fe,[['Keep lane to continue driving since the lane ahead is clear.']]
f499a28d-16b8-4858-a067-dcbee889a5f5,[['Keep speed through the intersection since the traffic light is green.']]
fd886e96-86b2-4075-a5b7-10b7ded143cc,[['Keep distance to the lead vehicle because it is directly ahead in the same lane']]
354cdf53-b1a7-4a2f-be16-0b8396382bce,[['Adapt speed for the upcoming left curve.']]
38b3699e-ce16-4872-97c4-665243b3a41a,[['Accelerate to proceed through the intersection since the straight traffic light is green.']]
3e8eb4c3-dd64-4124-b604-cbc5a04fd222,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
84978fc3-bc5b-45da-9d18-3bccceb3441d,[['Keep distance to the lead vehicle because it is directly ahead in the same lane.']]
